Policy_ID,Policy_Text_EN,Policy_Text_FR,Policy_Text_ES,Summarized_Text
5ea4d7cd-a834-48b8-9b80-5d5b4e79263b,"Travel insurance covers trip cancellations, lost luggage, and emergency medical expenses while traveling abroad.","L'assurance voyage couvre les annulations de voyage, la perte de bagages et les frais médicaux d'urgence à l'étranger.","El seguro de viaje cubre cancelaciones de viajes, pérdida de equipaje y gastos médicos de emergencia en el extranjero.","Covers travel risks such as cancellations, lost luggage, and medical expenses."
369b1a12-b8fa-4235-8435-b0ff839797db,"Home insurance protects against fire, theft, and natural disasters. Coverage includes both the structure and personal belongings.","L'assurance habitation protège contre l'incendie, le vol et les catastrophes naturelles. La couverture inclut la structure et les effets personnels.","El seguro de hogar protege contra incendios, robos y desastres naturales. La cobertura incluye la estructura y las pertenencias personales.",Protects home structure and belongings from risks like fire and theft.
9cb6703b-9ef3-4692-ae38-8da75a197760,"Home insurance protects against fire, theft, and natural disasters. Coverage includes both the structure and personal belongings.","L'assurance habitation protège contre l'incendie, le vol et les catastrophes naturelles. La couverture inclut la structure et les effets personnels.","El seguro de hogar protege contra incendios, robos y desastres naturales. La cobertura incluye la estructura y las pertenencias personales.",Protects home structure and belongings from risks like fire and theft.
9964fb8e-2523-4147-ac66-baf944c88595,Life insurance ensures financial security for beneficiaries in case of the policyholder's death. Optional riders available for disability coverage.,L'assurance vie assure la sécurité financière des bénéficiaires en cas de décès du titulaire de la police. Des options supplémentaires sont disponibles pour la couverture d'invalidité.,El seguro de vida garantiza la seguridad financiera de los beneficiarios en caso de fallecimiento del titular de la póliza. Opciones adicionales disponibles para cobertura por discapacidad.,Offers financial support for beneficiaries in case of policyholder’s death.
1e4a9661-9d57-472c-ab67-1c4d29f106e1,"Health insurance policy provides coverage for hospitalization, surgeries, and prescribed medications. Pre-existing conditions may require additional evaluation.","La police d'assurance maladie couvre l'hospitalisation, les chirurgies et les médicaments prescrits. Les conditions préexistantes peuvent nécessiter une évaluation supplémentaire.","La póliza de seguro de salud cubre hospitalización, cirugías y medicamentos recetados. Las condiciones preexistentes pueden requerir una evaluación adicional.",Provides medical coverage including hospital visits and prescriptions.
8d895f08-e616-4307-acca-eed4311d707a,"Health insurance policy provides coverage for hospitalization, surgeries, and prescribed medications. Pre-existing conditions may require additional evaluation.","La police d'assurance maladie couvre l'hospitalisation, les chirurgies et les médicaments prescrits. Les conditions préexistantes peuvent nécessiter une évaluation supplémentaire.","La póliza de seguro de salud cubre hospitalización, cirugías y medicamentos recetados. Las condiciones preexistentes pueden requerir una evaluación adicional.",Provides medical coverage including hospital visits and prescriptions.
eb54ae2a-3923-4c70-8277-70688610ae42,"Home insurance protects against fire, theft, and natural disasters. Coverage includes both the structure and personal belongings.","L'assurance habitation protège contre l'incendie, le vol et les catastrophes naturelles. La couverture inclut la structure et les effets personnels.","El seguro de hogar protege contra incendios, robos y desastres naturales. La cobertura incluye la estructura y las pertenencias personales.",Protects home structure and belongings from risks like fire and theft.
9b951863-c01f-4716-a44a-c51fb6399ad7,"Home insurance protects against fire, theft, and natural disasters. Coverage includes both the structure and personal belongings.","L'assurance habitation protège contre l'incendie, le vol et les catastrophes naturelles. La couverture inclut la structure et les effets personnels.","El seguro de hogar protege contra incendios, robos y desastres naturales. La cobertura incluye la estructura y las pertenencias personales.",Protects home structure and belongings from risks like fire and theft.
1dec7dc3-eb4f-457b-ae52-385e061525f8,"This policy covers vehicle damages due to accidents, theft, and natural disasters. Liability coverage is included.","Cette police couvre les dommages aux véhicules dus aux accidents, au vol et aux catastrophes naturelles. La responsabilité civile est incluse.","Esta póliza cubre los daños del vehículo debido a accidentes, robos y desastres naturales. La cobertura de responsabilidad civil está incluida.","Covers vehicle damages, liability, and natural disasters."
78d771cf-7267-4c36-9499-cafd1b6fb9d0,"Home insurance protects against fire, theft, and natural disasters. Coverage includes both the structure and personal belongings.","L'assurance habitation protège contre l'incendie, le vol et les catastrophes naturelles. La couverture inclut la structure et les effets personnels.","El seguro de hogar protege contra incendios, robos y desastres naturales. La cobertura incluye la estructura y las pertenencias personales.",Protects home structure and belongings from risks like fire and theft.
b88957f1-28ac-4cb4-a7a3-c00fe4f57858,"Health insurance policy provides coverage for hospitalization, surgeries, and prescribed medications. Pre-existing conditions may require additional evaluation.","La police d'assurance maladie couvre l'hospitalisation, les chirurgies et les médicaments prescrits. Les conditions préexistantes peuvent nécessiter une évaluation supplémentaire.","La póliza de seguro de salud cubre hospitalización, cirugías y medicamentos recetados. Las condiciones preexistentes pueden requerir una evaluación adicional.",Provides medical coverage including hospital visits and prescriptions.
0dd0c71b-28c8-4924-818e-af45de501d95,"Travel insurance covers trip cancellations, lost luggage, and emergency medical expenses while traveling abroad.","L'assurance voyage couvre les annulations de voyage, la perte de bagages et les frais médicaux d'urgence à l'étranger.","El seguro de viaje cubre cancelaciones de viajes, pérdida de equipaje y gastos médicos de emergencia en el extranjero.","Covers travel risks such as cancellations, lost luggage, and medical expenses."
ba362b57-90d5-48c1-8155-902872538d9e,"This policy covers vehicle damages due to accidents, theft, and natural disasters. Liability coverage is included.","Cette police couvre les dommages aux véhicules dus aux accidents, au vol et aux catastrophes naturelles. La responsabilité civile est incluse.","Esta póliza cubre los daños del vehículo debido a accidentes, robos y desastres naturales. La cobertura de responsabilidad civil está incluida.","Covers vehicle damages, liability, and natural disasters."
573d59bb-e79f-41fb-944b-2718d4795a2a,"Travel insurance covers trip cancellations, lost luggage, and emergency medical expenses while traveling abroad.","L'assurance voyage couvre les annulations de voyage, la perte de bagages et les frais médicaux d'urgence à l'étranger.","El seguro de viaje cubre cancelaciones de viajes, pérdida de equipaje y gastos médicos de emergencia en el extranjero.","Covers travel risks such as cancellations, lost luggage, and medical expenses."
ee8c7210-9a33-4581-8b8c-994aacf6a2a3,Life insurance ensures financial security for beneficiaries in case of the policyholder's death. Optional riders available for disability coverage.,L'assurance vie assure la sécurité financière des bénéficiaires en cas de décès du titulaire de la police. Des options supplémentaires sont disponibles pour la couverture d'invalidité.,El seguro de vida garantiza la seguridad financiera de los beneficiarios en caso de fallecimiento del titular de la póliza. Opciones adicionales disponibles para cobertura por discapacidad.,Offers financial support for beneficiaries in case of policyholder’s death.
9d477313-b19b-4190-9502-8677b62096d1,"Health insurance policy provides coverage for hospitalization, surgeries, and prescribed medications. Pre-existing conditions may require additional evaluation.","La police d'assurance maladie couvre l'hospitalisation, les chirurgies et les médicaments prescrits. Les conditions préexistantes peuvent nécessiter une évaluation supplémentaire.","La póliza de seguro de salud cubre hospitalización, cirugías y medicamentos recetados. Las condiciones preexistentes pueden requerir una evaluación adicional.",Provides medical coverage including hospital visits and prescriptions.
09f00e66-9d27-4308-95c9-f85689e1701b,"This policy covers vehicle damages due to accidents, theft, and natural disasters. Liability coverage is included.","Cette police couvre les dommages aux véhicules dus aux accidents, au vol et aux catastrophes naturelles. La responsabilité civile est incluse.","Esta póliza cubre los daños del vehículo debido a accidentes, robos y desastres naturales. La cobertura de responsabilidad civil está incluida.","Covers vehicle damages, liability, and natural disasters."
1ddb236c-7a78-4e94-9c50-247f45ae0537,"Home insurance protects against fire, theft, and natural disasters. Coverage includes both the structure and personal belongings.","L'assurance habitation protège contre l'incendie, le vol et les catastrophes naturelles. La couverture inclut la structure et les effets personnels.","El seguro de hogar protege contra incendios, robos y desastres naturales. La cobertura incluye la estructura y las pertenencias personales.",Protects home structure and belongings from risks like fire and theft.
aed48d29-c594-498a-be0c-301c4510fbdd,"Travel insurance covers trip cancellations, lost luggage, and emergency medical expenses while traveling abroad.","L'assurance voyage couvre les annulations de voyage, la perte de bagages et les frais médicaux d'urgence à l'étranger.","El seguro de viaje cubre cancelaciones de viajes, pérdida de equipaje y gastos médicos de emergencia en el extranjero.","Covers travel risks such as cancellations, lost luggage, and medical expenses."
e0837ce4-ccb4-4934-a2d2-fa2f690f7112,"Business insurance provides liability and property coverage for businesses, protecting against financial losses due to accidents or lawsuits.","L'assurance entreprise offre une couverture de responsabilité et de propriété pour les entreprises, protégeant contre les pertes financières dues aux accidents ou aux poursuites judiciaires.","El seguro comercial proporciona cobertura de responsabilidad y propiedad para empresas, protegiendo contra pérdidas financieras debido a accidentes o demandas legales.",Protects businesses from financial losses due to liabilities and accidents.
53f9fc2d-234e-4a58-9569-9ec3e090f2c1,Life insurance ensures financial security for beneficiaries in case of the policyholder's death. Optional riders available for disability coverage.,L'assurance vie assure la sécurité financière des bénéficiaires en cas de décès du titulaire de la police. Des options supplémentaires sont disponibles pour la couverture d'invalidité.,El seguro de vida garantiza la seguridad financiera de los beneficiarios en caso de fallecimiento del titular de la póliza. Opciones adicionales disponibles para cobertura por discapacidad.,Offers financial support for beneficiaries in case of policyholder’s death.
75a67fb4-3828-4b6e-98cc-4189ed08e8d5,Life insurance ensures financial security for beneficiaries in case of the policyholder's death. Optional riders available for disability coverage.,L'assurance vie assure la sécurité financière des bénéficiaires en cas de décès du titulaire de la police. Des options supplémentaires sont disponibles pour la couverture d'invalidité.,El seguro de vida garantiza la seguridad financiera de los beneficiarios en caso de fallecimiento del titular de la póliza. Opciones adicionales disponibles para cobertura por discapacidad.,Offers financial support for beneficiaries in case of policyholder’s death.
