Review_ID,Customer_ID,Review_Text,Sentiment_Label,Rating,Service_Type
d66d404b-1cac-42c7-8610-17df35701196,96828114-2863-4bc4-9f93-eb4dfc0ff296,Customer service was rude and dismissive.,Negative,2,Claim
0e958845-19a1-4991-9b5b-a2b7bb43ea99,a2e3cb20-2f01-4bde-a22c-a0a0db87225b,Customer service was rude and dismissive.,Negative,1,Policy Purchase
865d8571-b05d-4305-b9ac-e231d624e34b,93d51849-937c-4b1a-a619-28bc365649a6,"Had a really bad experience, will not recommend.",Negative,2,Policy Purchase
305abd94-e14f-40da-a67f-f7d47bba9d0c,3c800697-55b9-4747-aae8-048af175407e,"The service was okay, nothing exceptional.",Neutral,3,Claim
30a256a9-818f-48aa-a5ee-0ab72b1f6204,5eb10987-ed3b-44cf-b155-73bc873b7c85,Great service! My claim was processed quickly.,Positive,4,Claim
f9d6cf85-1020-4d98-992d-468dd6d00e04,42fd4c7d-8dea-45a1-ab6b-383e453c07a9,Customer service was rude and dismissive.,Negative,1,Policy Purchase
8d8b9269-66ae-46df-9389-10489b4409d5,c6ebff2a-6301-42a9-91e2-b1e863a41093,The policy purchase experience was seamless and easy.,Positive,5,Claim
8fee6d02-c884-4560-a6fa-0e65d1338288,36319695-7d9e-4854-84dc-5b6d031b9be8,"Policy purchase process was standard, no issues.",Neutral,2,Claim
47e7ede1-c58f-402f-a34b-a982a429eeb6,28ca11ab-77e0-4b31-880f-3c800e7c9fc5,Customer service was rude and dismissive.,Negative,1,Claim
31348ac7-9c3b-4feb-9500-e98f35099af3,ea1dbba4-6915-40a8-b43f-04722546c2a0,"Had a really bad experience, will not recommend.",Negative,1,Policy Purchase
f24fdee7-8662-4fef-b27f-307029d6aac5,cf401827-5fd7-4645-921e-437b95f10449,Customer service was rude and dismissive.,Negative,2,Support
1667677f-7790-492b-b522-817216778cf6,3472e6d5-d271-49c9-8969-5f20c813bfa7,Policy purchase was confusing and frustrating.,Negative,1,Support
58099780-f9ca-49e6-a7a4-b0fe33e7111f,a635ab39-7c2e-4f93-a8e0-f2d7b407bb67,Support was unhelpful and didn't resolve my issue.,Negative,1,Support
b4158c38-51ab-45e5-bcba-198122018c71,cde995dc-0beb-438d-a3aa-96b7f37c6d28,Policy purchase was confusing and frustrating.,Negative,1,Support
ab34bebd-1f76-4015-879d-0e6bcf417d5d,37ea9241-39b6-4cfc-9460-44529919dbb8,Great service! My claim was processed quickly.,Positive,5,Policy Purchase
29c33ae6-420d-42c4-bb9f-6fe013f4eaed,7bf3e2f6-9916-4934-af3e-fe7e20991a8e,I'm happy with the quick response from the team.,Positive,5,Support
33b6ef0f-ef79-4bd1-8908-6863e1bfec59,6204813c-2c40-43bd-ae44-4b5dc47ec17f,I'm happy with the quick response from the team.,Positive,5,Claim
fef2535a-0841-41fe-9a66-555aec71bb94,0a028c51-3173-4ec4-8a90-05e4f589d070,The policy purchase experience was seamless and easy.,Positive,5,Claim
96bdf844-b336-4e9a-9054-9ff7fd9b5db2,103495c1-3a98-468b-880e-9b3df4c56286,Policy purchase was confusing and frustrating.,Negative,2,Claim
b54a6a11-11d9-45a1-834b-a7f05706003e,071b5b2c-4cbd-48cf-856d-3a35ffa839f4,Great service! My claim was processed quickly.,Positive,4,Policy Purchase
f453fe2a-1b32-4ab8-a279-e3436eb281a6,f7384311-4e88-4250-ae5c-5aef7a10e956,"Had to follow up a few times, but got my answer.",Neutral,2,Claim
c6894c5a-d92f-4c11-b8d0-d78c98953e75,54abbf77-407a-4356-8cfb-912766bb4015,"Terrible service, my claim took forever to process.",Negative,2,Claim
c4ae08ae-ff76-4a8f-9fc7-7d7ce580a62a,f588589c-cdb4-4d2c-8814-eceb50e3a1f5,Great service! My claim was processed quickly.,Positive,5,Support
033d2cba-07ba-401a-87f3-3a15aa37d2b0,161e8d46-3670-4e71-aaf2-853315bf1364,"Smooth and hassle-free experience, highly recommend.",Positive,4,Policy Purchase
65ae6ae6-a4bb-4379-8549-906ac950a49d,6fe84443-8f26-4785-a8f7-da00d081e83e,Support was unhelpful and didn't resolve my issue.,Negative,1,Policy Purchase
10c40e9d-931e-4bd1-9a20-ff8ed4945f54,f595e64e-1a26-44f2-b1d0-d7bbce94e673,Customer support was very helpful and resolved my issue.,Positive,4,Claim
d6c2251e-a657-4855-a530-ebc77ba6a4e7,4748e4ee-8abc-45d6-9ea4-ba723a6a60fd,"Policy purchase process was standard, no issues.",Neutral,3,Support
685df84d-a032-4e97-bf43-8706df6be8f7,307d70e0-7625-49bf-9093-1bd19495ffd4,"Had to follow up a few times, but got my answer.",Neutral,4,Support
d79605ad-6172-4610-b933-56e9eec11499,5cd660ff-de42-4516-aa08-87674511f237,Customer service was rude and dismissive.,Negative,2,Support
245de6b5-26a2-4736-bbc5-83197d8d817c,844a4be5-0775-4fa7-a2dd-7dfeeca62c0c,Customer support was very helpful and resolved my issue.,Positive,5,Claim
710c272f-c95a-46d8-a05a-4cde7f7e481c,792317c6-ca5c-4878-a815-02ea36e10666,Great service! My claim was processed quickly.,Positive,5,Policy Purchase
1371df31-384f-46a5-aae2-3d936cfe0b03,c71b2b38-ded0-42d7-86dc-5d6b906dcf96,"Support was average, they took some time to respond.",Neutral,2,Policy Purchase
cc2f9e43-3d72-4ccb-9bf8-05c87872129b,897567a7-1b7d-4665-98cd-515d9f3c92d8,Great service! My claim was processed quickly.,Positive,5,Policy Purchase
ca949af8-ed65-48b2-9ab3-937faf103404,3b0ecb80-7dcc-408d-8727-ba6bb742356c,"Had to follow up a few times, but got my answer.",Neutral,4,Claim
15d06f3d-2cd4-4eb1-a9a2-425a8248f9fc,db5ce8f5-0233-457f-ba1b-1cea3a9b62d2,Policy purchase was confusing and frustrating.,Negative,2,Support
2a5bf9ba-a3a3-44b7-86f2-beda9a7e642b,37bdce85-d9c9-47c6-8e43-40ec4a433812,Policy purchase was confusing and frustrating.,Negative,2,Support
